一○六 10.92
一一 8.44
一一五 10.92
一丁 10.92
一丁点儿 10.92
一万 7.83
一万七千五百二十九亿 10.92
一万二千 10.92
一万五千六百 10.92
一万八 10.92
一万零一百二十亿 10.92
一下 6.78
一下子 7.74
一不小心 10.92
一专多能 9.82
一丛丛 10.92
一丝一毫 10.92
一丝不苟 9.31
一丝丝 10.92
一两 7.78
一两万 9.82
一两点钟 10.92
一两百 10.92
一个 3.39
一个个 7.31
一个劲 10.92
一个半 8.84
一中 9.31
一中一台 9.31
一中全会 9.53
一串串 9.53
一丹 10.23
一举 7.92
一举一动 10.23
一举两得 10.92
一举四得 10.92
一举数得 10.92
一九一九年 10.92
一九一四年 10.92
一九七七年 10.92
一九七九年 10.92
一九九○年 10.92
一九九七 9.31
一九九七年 6.86
一九九三年 9.82
一九九九年 10.23
一九九二 10.92
一九九二年 9.53
一九九五年 8.44
一九九八 10.92
一九九八年 7.26
一九九六 10.23
一九九六年 9.31
一九九六．四．五 10.92
一九九四年 9.53
一九五三年 10.92
一九八七年 10.92
一九八三年 10.92
一九八二年 10.92
一九八五年 10.92
一九八六年 10.23
一九六三年 10.92
一九六二年 10.92
一九六五年 10.92
一九六八年 10.92
一九四○年 10.92
一九四三年 10.92
一九四九年 10.92
一事当前 10.92
一二 9.82
一二·九 10.92
一二三四 10.92
一二九 10.92
一二十 10.92
一二百 10.92
一五一十 10.92
一些 4.12
一产 10.92
一亿 10.23
一代 7.92
一代人 9.31
一代代 10.23
一以贯之 9.31
一件件 10.23
一份份 10.92
一会 10.23
一会儿 8.62
一体 7.59
一体化 6.84
一体式 10.92
一侧 9.53
一元 10.92
一元复始 10.92
一元性 10.92
一光 10.92
一八四八年 10.92
一共 8.84
一兵 10.92
一册册 10.92
一再 7.70
一军 10.92
一准儿 10.92
一凡 10.92
一刀切 9.53
一分为二 10.92
一分为八 10.92
一分收获 10.92
一分耕耘 10.92
一切 5.74
一则 9.53
一刚 10.92
一刻 8.28
一剪梅 10.92
一副副 10.23
一动不动 10.92
一千 8.72
一千一百 9.31
一千一百一十三 10.92
一千七百七十一亿 10.92
一千万 9.82
一千三四百 10.92
一千三百 10.92
一千三百九十九亿 10.92
一千三百二十五万 10.92
一千三百二十五亿 10.92
一千三百五十万 10.92
一千三百八十九 10.92
一千三百四十 10.92
一千九百五十八 10.92
一千二百 10.92
一千二百三十九 10.92
一千二百二十五 10.92
一千二百零五 10.92
一千五百 10.92
一千五百万 10.92
一千亿 10.92
一千八百 10.92
一千八百四十三 10.92
一千六百 10.23
一千六百八十万 10.92
一千四百 10.92
一千四百亿 10.92
一千零二十 10.23
一千零六十五万 10.92
一半 6.90
一厢情愿 10.92
一去不复返 10.23
一去不返 10.92
